Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Chakra Stone (product.metafields.custom.chakra_stone),Discount Code (product.metafields.custom.discount_code),Discount Percent (product.metafields.custom.discount_percent),Frequently Bought Together (product.metafields.custom.fbt_products),Featured Reviews (product.metafields.custom.featured_reviews),Feedback Count (product.metafields.custom.feedback_count),Rating (product.metafields.custom.rating),Short Introduction (product.metafields.custom.short_introduction),Tarot sign (product.metafields.custom.tarot_sign),Zodiac sign (product.metafields.custom.zzodiac_sign),Age group (product.metafields.shopify.age-group),Authenticity (product.metafields.shopify.authenticity),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Condition (product.metafields.shopify.condition),Crystal system (product.metafields.shopify.crystal-system),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Mineral class (product.metafields.shopify.mineral-class),Necklace design (product.metafields.shopify.necklace-design),Rarity (product.metafields.shopify.rarity),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
tiger-eye-pixiu-bracelet-for-customer-vip,TIGER EYE PIXIU BRACELET - For Customer VIP,"<div data-docx-has-block-data=""true"" data-lark-html-role=""root"" data-page-id=""UXLEdQWbLoq36Xx9a4sluPlGgvd"">
<h3 class=""heading-3 ace-line old-record-id-RiovdTuvAo8ezZxw6ZSlVUJyg8f""><span><strong>TIGER EYE PIXIU BRACELET — THE ENERGY OF STRENGTH &amp; WEALTH</strong></span></h3>
<div class=""ace-line ace-line old-record-id-A1psdSLfAopzgNxEPlcl0WgOgTd"">
<span>Tiger Eye is the stone of </span><span><strong>willpower, courage, and keen intuition</strong></span><span>.</span><span> </span><span> The Tiger Eye Pixiu Bracelet is crafted for men who lead their destiny — steady through challenges, fearless in pursuit of success.</span><span></span><span></span>
</div>
</div>
<div class=""ace-line ace-line old-record-id-XWnads9Y3os01lxHjxJlMDhTgoe"">
<div data-page-id=""UXLEdQWbLoq36Xx9a4sluPlGgvd"" data-lark-html-role=""root"" data-docx-has-block-data=""true"">
<div class=""ace-line ace-line old-record-id-SsdIdDUJHo0NMvxIZWJl3Awxgte"">
<div data-docx-has-block-data=""false"" data-lark-html-role=""root"" data-page-id=""UXLEdQWbLoq36Xx9a4sluPlGgvd"">
<div class=""ace-line ace-line old-record-id-Muttd8mH8oWns8x5rpBlunxmg7b"">
<span>Each natural Tiger Eye bead is </span><span><strong>hand-polished by artisans</strong></span><span>, paired with the sacred Pixiu — a symbol of </span><span><strong>wealth, protection, and authority</strong></span><span>.</span><span> </span><span>Its golden-brown gleam reflects the wild eyes of the tiger, channeling </span><span><strong>inner power, confidence, and the wisdom to seize opportunities in adversity</strong></span><span>.</span>
</div>
<div class=""ace-line ace-line old-record-id-Muttd8mH8oWns8x5rpBlunxmg7b""><em>“True strength doesn’t need to shout — it simply shines through presence.”</em></div>
</div>
</div>47654321098765
</div>
</div>",TAICHI GEMSTONE - BRING THE LUCK TO YOUR LIFE,Apparel & Accessories > Jewelry > Bracelets,"","",true,Title,Default Title,,,,,,,,,500.0,shopify,50,deny,manual,89.00,159.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/3_18bf3813-8080-4b3e-9910-b81d66d4c17c.webp?v=1765438480,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,unlisted
tiger-eye-pixiu-bracelet-for-customer-vip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/5_c38afdf2-73af-4af5-b034-0fecb0140e38.webp?v=1765438480,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiger-eye-pixiu-bracelet-for-customer-vip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/4_d984cdaf-ca47-47d1-825f-73fbe1e04825.webp?v=1765438480,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiger-eye-pixiu-bracelet-for-customer-vip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/2_9ae491c4-de66-4f18-bf1a-a78ce7da7be7.webp?v=1765438480,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiger-eye-pixiu-bracelet,TIGER EYE PIXIU BRACELET,"<div data-docx-has-block-data=""true"" data-lark-html-role=""root"" data-page-id=""UXLEdQWbLoq36Xx9a4sluPlGgvd"">
<h3 class=""heading-3 ace-line old-record-id-RiovdTuvAo8ezZxw6ZSlVUJyg8f""><span><strong>TIGER EYE PIXIU BRACELET — THE ENERGY OF STRENGTH &amp; WEALTH</strong></span></h3>
<div class=""ace-line ace-line old-record-id-A1psdSLfAopzgNxEPlcl0WgOgTd"">
<span>Tiger Eye is the stone of </span><span><strong>willpower, courage, and keen intuition</strong></span><span>.</span><span> </span><span> The Tiger Eye Pixiu Bracelet is crafted for men who lead their destiny — steady through challenges, fearless in pursuit of success.</span><span></span><span></span>
</div>
</div>
<div class=""ace-line ace-line old-record-id-XWnads9Y3os01lxHjxJlMDhTgoe"">
<div data-page-id=""UXLEdQWbLoq36Xx9a4sluPlGgvd"" data-lark-html-role=""root"" data-docx-has-block-data=""true"">
<div class=""ace-line ace-line old-record-id-SsdIdDUJHo0NMvxIZWJl3Awxgte"">
<div data-docx-has-block-data=""false"" data-lark-html-role=""root"" data-page-id=""UXLEdQWbLoq36Xx9a4sluPlGgvd"">
<div class=""ace-line ace-line old-record-id-Muttd8mH8oWns8x5rpBlunxmg7b"">
<span>Each natural Tiger Eye bead is </span><span><strong>hand-polished by artisans</strong></span><span>, paired with the sacred Pixiu — a symbol of </span><span><strong>wealth, protection, and authority</strong></span><span>.</span><span> </span><span>Its golden-brown gleam reflects the wild eyes of the tiger, channeling </span><span><strong>inner power, confidence, and the wisdom to seize opportunities in adversity</strong></span><span>.</span>
</div>
<div class=""ace-line ace-line old-record-id-Muttd8mH8oWns8x5rpBlunxmg7b""><em>“True strength doesn’t need to shout — it simply shines through presence.”</em></div>
</div>
</div>
</div>
</div>",TAICHI GEMSTONE - BRING THE LUCK TO YOUR LIFE,Apparel & Accessories > Jewelry > Bracelets,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1000,deny,manual,99.00,159.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0977/7027/5097/files/3_d4ff1a0f-05e7-4444-b002-18aaf59bf6dc.webp?v=1765438479,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
tiger-eye-pixiu-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/Gemini_Generated_Image_jlxy9zjlxy9zjlxy_d6d7d4de-7b1a-46dd-b5a5-c70c811ada4e.png?v=1765438479,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiger-eye-pixiu-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/5_0fddd0ad-a1d5-4a98-9659-533c1f3d8c5a.webp?v=1765438479,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiger-eye-pixiu-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/4_e4cf2301-f9a1-4e84-8ded-cc74bf1dfeb1.webp?v=1765438479,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiger-eye-pixiu-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/2_02cdd840-14c5-4d44-a3f2-a98d82efa359.webp?v=1765438479,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixiu-stone-yellow,Lucky Pixiu Stone - Yellow,"<p dir=""auto""><img src=""https://cdn.shopify.com/s/files/1/0949/8843/5762/files/T_H_u_mau_m_nh.png?v=1763010055"" alt=""""></p>
<p dir=""auto"">🔮 <strong>LUCKY PIXIU NECKLACE – THE CHARM THAT BRINGS LUCK AND POSITIVE ENERGY</strong></p>
<p dir=""auto"">📐 <strong>PRODUCT INFORMATION:</strong></p>
<p dir=""auto"">📌 <strong>One Lucky Pixiu Pendant:</strong></p>
<ul dir=""auto"">
<li>Material: <strong>100% Natural Agate Crystal</strong>
</li>
<li>Size: <strong>1.49 x 0.85 x 0.42 inches</strong>
</li>
<li>Weight: <strong>13.6 g</strong>
</li>
</ul>
<p dir=""auto"">📌 <strong>Premium silver clasp</strong> – Shiny, non-tarnishing, and durable</p>
<p dir=""auto"">📌 <strong>Imported leather cord</strong> – Strong and easy to match with any outfit</p>
<p dir=""auto"">📌 <strong>Premium velvet-lined leather box</strong> – Elegant and sophisticated</p>
<p dir=""auto"">🔔 <strong>NOTE:</strong> The LUCKY PIXIU NECKLACE is <strong>exclusively designed for men</strong>. Choose the right color based on your <strong>feng shui element</strong> for the best effect. Feel free to message our shop for more info!</p>
<p dir=""auto"">#LuckyPixiuNecklace #LuckyStone #LuckyNecklace #Pixiu #PixiuFengShui</p>",My Store,Apparel & Accessories > Jewelry > Necklaces,"","",true,Title,Default Title,,,,,,,,,300.0,shopify,998,continue,manual,99.00,199.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0977/7027/5097/files/product-christmas-yellow-pixiu_3ad6e8e7-cb1a-4e75-9081-4b42fa40ae87.png?v=1765438479,1,Product Christmas - Yellow Pixiu,false,,,,,,,,,,,,,,,,,,,,,,,,,,g,,69.00,active
